,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8707482993197279,0.68,0.3617021276595745,0.4722222222222222,0.8125592212938239
Random Forest,0.8401360544217688,0.5,0.1276595744680851,0.20338983050847456,0.7862003617882677
Decision Tree,0.7721088435374149,0.34375,0.46808510638297873,0.39639639639639634,0.6490223102765096
